Category,University,Faculty,Program,2022,2023,2024
آداب,جامعة قرطاج,المعهد العالى للفنون الجميلة بنابل,الإجازة في تصميم الفضاء,122.6969,124.18,117.2239
آداب,جامعة قرطاج,المعهد العالى للفنون الجميلة بنابل,الاجازة في تصميم المنتوج,107.69,115.1909,104.745
آداب,جامعة قرطاج,المعهد العالى للفنون الجميلة بنابل,الاجازة في تصميم الصورة,106.2082,119.1231,108.14
آداب,جامعة قرطاج,المعهد العالي لتكنولوجيات البيئة والعمران والبنيان,الإجازة في التعمير و التهيئة,130.095,135.61,126.115
آداب,جامعة قرطاج,المعهد العالي للغات بنابل,الإجازة في العربية,99.9365,98.7931,97.7445
آداب,جامعة قرطاج,المعهد العالي للغات بنابل,الإجازة في الإنقليزية,108.905,106.6255,99.78
آداب,جامعة قرطاج,المعهد العالي للغات بنابل,الإجازة في الفرنسية,74.1566,68.3999,75.3918
آداب,جامعة قرطاج,المعهد العالي للغات بنابل,الإجازة في الإيطالية,102.4251,102.7149,90.7399
آداب,جامعة قرطاج,المعهد العالي للدراسات السياحية والفندقية بسيدي الظريف,الاجازة في السياحة,109.7733,106.4498,107.9117
آداب,جامعة قرطاج,المعهد العالي للدراسات السياحية والفندقية بسيدي الظريف,الإجازة في الفندقة,107.735,103.775,106.43
آداب,جامعة الزيتونة,المعهد العالي لأصول الدين بتونس,الإجازة في العلوم الشرعية,96.5452,91.8935,95.6485
آداب,جامعة الزيتونة,المعهد العالي لأصول الدين بتونس,الإجازة في فنون التراث الإسلامي,92.5668,90.7248,97.1684
آداب,جامعة الزيتونة,المعهد العالي للحضارة الإسلامية بتونس,الإجازة في العلوم الإسلامية,100.6115,95.7501,98.65
آداب,جامعة الزيتونة,المعهد العالي للعلوم الإسلامية بالقيروان,الإجازة في العلوم الإسلامية,101.2434,99.1642,99.1696
آداب,جامعة سوسة,كلية الطب بسوسة,الطب,174.76,162.055,147.98
آداب,جامعة سوسة,كلية الحقوق والعلوم السياسية بسوسة,الإجازة في القانون,116.2127,112.1628,111.3228
آداب,جامعة سوسة,كلية الآداب والعلوم الإنسانية بسوسة,الإجازة في العربية,100.2376,99.4298,98.554
آداب,جامعة سوسة,كلية الآداب والعلوم الإنسانية بسوسة,الإجازة في الإنقليزية,113.5163,107.905,106.53
آداب,جامعة سوسة,كلية الآداب والعلوم الإنسانية بسوسة,الإجازة في الفرنسية,73.4432,72.27,73.5849
آداب,جامعة سوسة,كلية الآداب والعلوم الإنسانية بسوسة,الإجازة في الأنتروبولوجيا,103.62,106.1547,104.2128
آداب,جامعة سوسة,كلية الآداب والعلوم الإنسانية بسوسة,الإجازة في التاريخ,87.0149,89.9977,88.355
آداب,جامعة سوسة,كلية الآداب والعلوم الإنسانية بسوسة,الإجازة في الجغرافيا,76.7546,91.6083,89.3987
